,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ilulissat,100,GL,1621990184,64,69.2167,-51.1,33.82,4.61
1,Sistranda,38,NO,1621990075,87,63.7256,8.834,53.91,21.5
2,Mataura,100,NZ,1621990186,44,-46.1927,168.8643,49.48,2.44
3,Dillon,100,US,1621990188,85,34.4166,-79.3712,86.25,5.86
4,Ténenkou,100,ML,1621990189,30,14.4572,-4.9169,91.4,8.86
5,Lata,100,PT,1621990190,79,40.1629,-8.3327,59.72,1.77
6,Avarua,40,CK,1621990088,78,-21.2078,-159.775,82.45,8.05
7,Zapolyarnyy,77,RU,1621990192,81,69.4154,30.8136,34.88,1.88
8,Luján,4,AR,1621990194,76,-34.5703,-59.105,54.99,2.42
9,Ţaga,100,RO,1621990195,95,46.95,24.05,59.31,10.87
10,Nushki,0,PK,1621990196,14,29.5542,66.0215,76.48,6.51
11,San Cristobal,96,VE,1621990028,97,7.7669,-72.225,66.2,3.24
12,Sal Rei,0,CV,1621990198,83,16.1833,-22.9167,70.36,18.21
13,Hasaki,100,JP,1621990200,63,35.7333,140.8333,70.29,11.14
14,Tura,100,IN,1621989918,98,25.5198,90.2201,73.71,3.02
15,Prince Rupert,90,CA,1621990204,70,54.3161,-130.3201,50.09,2.3
16,Bitung,99,ID,1621990205,74,1.4451,125.1824,85.05,7.09
17,Cape Town,75,ZA,1621990200,81,-33.9258,18.4232,58.12,1.99
18,Muswellbrook,10,AU,1621990208,50,-32.2667,150.9,67.73,9.69
19,Nikolskoye,99,RU,1621989936,89,59.7035,30.7861,48.09,6.53
20,Qaanaaq,12,GL,1621990210,75,77.484,-69.3632,30.15,4.9
21,Saskylakh,98,RU,1621990211,65,71.9167,114.0833,52.72,10.25
22,Touros,11,BR,1621990213,87,-5.1989,-35.4608,76.1,11.14
23,Albany,100,US,1621989994,65,42.6001,-73.9662,74.17,5.06
24,Rikitea,35,PF,1621989996,77,-23.1203,-134.9692,77.59,16.04
25,Coquimbo,0,CL,1621990098,82,-29.9533,-71.3436,56.93,1.9
26,Tuktoyaktuk,90,CA,1621989993,80,69.4541,-133.0374,30.2,8.05
27,Atuona,49,PF,1621989987,62,-9.8,-139.0333,80.02,12.95
28,Pitimbu,25,BR,1621990219,83,-7.4706,-34.8086,75.79,10.29
29,Nova Olinda do Norte,91,BR,1621990220,93,-3.8881,-59.0942,76.37,0.76
30,Abapó,92,BO,1621990222,78,-18.8333,-63.4667,59.68,3.0
31,Guerrero Negro,100,MX,1621990020,71,27.9769,-114.0611,66.13,15.1
32,Saint-Pierre,0,RE,1621990224,69,-21.3393,55.4781,73.04,6.91
33,Lebu,100,CL,1621990225,89,-37.6167,-73.65,54.19,5.64
34,Garissa,6,KE,1621990226,79,-0.4536,39.6401,72.23,13.35
35,Shakiso,91,ET,1621990228,98,5.75,38.9167,57.07,0.56
36,Hualmay,57,PE,1621990034,88,-11.0964,-77.6139,65.48,5.26
37,Sibi,0,PK,1621990230,12,29.5448,67.8764,90.48,0.56
38,Santa Barbara,1,US,1621990231,50,34.7333,-120.0343,71.78,6.67
39,Bengkulu,99,ID,1621990233,78,-3.8004,102.2655,80.53,3.27
40,Bredasdorp,58,ZA,1621990234,76,-34.5322,20.0403,52.92,5.53
41,Castro,21,BR,1621990235,54,-24.7911,-50.0119,50.18,1.43
